softmax,label
0.9538288712501526,1
1.0702434494191948e-08,1
0.9576147198677063,1
0.168111190199852,1
0.4634557366371155,1
3.5240916531620314e-06,1
5.832421265949961e-07,1
6.089993007662997e-07,0
2.1579081987965765e-07,0
5.966674621049606e-08,0
1.516137615453772e-08,0
1.670891265348473e-06,0
3.7989875134591955e-10,0
1.6678564307426313e-08,0
6.7227658995250295e-09,0
6.850709723948967e-07,0
2.6987827528301978e-09,0
1.6774039934830398e-09,0
2.8606172985945477e-10,0
9.264007963527554e-12,0
1.891209758242418e-11,0
6.753185250590876e-13,0
1.2713640632888018e-13,0
6.928064344435825e-09,0
5.4323017195656575e-09,0
